Município1;Código Município IBGE;UF1;Data;Média de Índice De Isolamento
ARAÇATUBA;3502804;SP;sexta-feira, 17/07;37%
ARAÇATUBA;3502804;SP;quinta-feira, 16/07;39%
ARAÇATUBA;3502804;SP;quarta-feira, 15/07;38%
ARAÇATUBA;3502804;SP;terça-feira, 14/07;40%
ARAÇATUBA;3502804;SP;segunda-feira, 13/07;39%
ARAÇATUBA;3502804;SP;domingo, 12/07;45%
ARAÇATUBA;3502804;SP;sábado, 11/07;40%
ARAÇATUBA;3502804;SP;sexta-feira, 10/07;37%
ARAÇATUBA;3502804;SP;quinta-feira, 09/07;40%
ARAÇATUBA;3502804;SP;quarta-feira, 08/07;39%
ARAÇATUBA;3502804;SP;terça-feira, 07/07;37%
ARAÇATUBA;3502804;SP;segunda-feira, 06/07;38%
ARAÇATUBA;3502804;SP;domingo, 05/07;45%
ARAÇATUBA;3502804;SP;sábado, 04/07;40%
ARAÇATUBA;3502804;SP;sexta-feira, 03/07;39%
ARAÇATUBA;3502804;SP;quinta-feira, 02/07;39%
ARAÇATUBA;3502804;SP;quarta-feira, 01/07;39%
ARAÇATUBA;3502804;SP;terça-feira, 30/06;41%
ARAÇATUBA;3502804;SP;segunda-feira, 29/06;38%
ARAÇATUBA;3502804;SP;domingo, 28/06;45%
ARAÇATUBA;3502804;SP;sábado, 27/06;41%
ARAÇATUBA;3502804;SP;sexta-feira, 26/06;37%
ARAÇATUBA;3502804;SP;quinta-feira, 25/06;38%
ARAÇATUBA;3502804;SP;quarta-feira, 24/06;39%
ARAÇATUBA;3502804;SP;terça-feira, 23/06;40%
ARAÇATUBA;3502804;SP;segunda-feira, 22/06;39%
ARAÇATUBA;3502804;SP;domingo, 21/06;45%
ARAÇATUBA;3502804;SP;sábado, 20/06;41%
ARAÇATUBA;3502804;SP;sexta-feira, 19/06;37%
ARAÇATUBA;3502804;SP;quinta-feira, 18/06;39%
ARAÇATUBA;3502804;SP;quarta-feira, 17/06;40%
ARAÇATUBA;3502804;SP;terça-feira, 16/06;40%
ARAÇATUBA;3502804;SP;segunda-feira, 15/06;41%
ARAÇATUBA;3502804;SP;domingo, 14/06;45%
ARAÇATUBA;3502804;SP;sábado, 13/06;39%
ARAÇATUBA;3502804;SP;sexta-feira, 12/06;38%
ARAÇATUBA;3502804;SP;quinta-feira, 11/06;43%
ARAÇATUBA;3502804;SP;quarta-feira, 10/06;38%
ARAÇATUBA;3502804;SP;terça-feira, 09/06;38%
ARAÇATUBA;3502804;SP;segunda-feira, 08/06;40%
ARAÇATUBA;3502804;SP;domingo, 07/06;47%
ARAÇATUBA;3502804;SP;sábado, 06/06;45%
ARAÇATUBA;3502804;SP;sexta-feira, 05/06;38%
ARAÇATUBA;3502804;SP;quinta-feira, 04/06;39%
ARAÇATUBA;3502804;SP;quarta-feira, 03/06;39%
ARAÇATUBA;3502804;SP;terça-feira, 02/06;41%
ARAÇATUBA;3502804;SP;segunda-feira, 01/06;38%
ARAÇATUBA;3502804;SP;domingo, 31/05;45%
ARAÇATUBA;3502804;SP;sábado, 30/05;43%
ARAÇATUBA;3502804;SP;sexta-feira, 29/05;39%
ARAÇATUBA;3502804;SP;quinta-feira, 28/05;39%
ARAÇATUBA;3502804;SP;quarta-feira, 27/05;39%
ARAÇATUBA;3502804;SP;terça-feira, 26/05;37%
ARAÇATUBA;3502804;SP;segunda-feira, 25/05;46%
ARAÇATUBA;3502804;SP;domingo, 24/05;45%
ARAÇATUBA;3502804;SP;sábado, 23/05;43%
ARAÇATUBA;3502804;SP;sexta-feira, 22/05;39%
ARAÇATUBA;3502804;SP;quinta-feira, 21/05;40%
ARAÇATUBA;3502804;SP;quarta-feira, 20/05;40%
ARAÇATUBA;3502804;SP;terça-feira, 19/05;40%
ARAÇATUBA;3502804;SP;segunda-feira, 18/05;42%
